Year,Units,Territorio,Value
2011,"Lógica (1=Sí, 0=No)",ES,1
2012,"Lógica (1=Sí, 0=No)",ES,1
2013,"Lógica (1=Sí, 0=No)",ES,1
2015,"Lógica (1=Sí, 0=No)",ES,1
2016,"Lógica (1=Sí, 0=No)",ES,1
2017,"Lógica (1=Sí, 0=No)",ES,1
2018,"Lógica (1=Sí, 0=No)",ES,1
2019,"Lógica (1=Sí, 0=No)",ES,1
2020,"Lógica (1=Sí, 0=No)",ES,1
2010,"Lógica (1=Sí, 0=No)",ES70,1
2014,"Lógica (1=Sí, 0=No)",ES,1
2010,"Lógica (1=Sí, 0=No)",ES,1
2011,"Lógica (1=Sí, 0=No)",ES70,1
2012,"Lógica (1=Sí, 0=No)",ES70,1
2013,"Lógica (1=Sí, 0=No)",ES70,1
2014,"Lógica (1=Sí, 0=No)",ES70,1
2015,"Lógica (1=Sí, 0=No)",ES70,1
2016,"Lógica (1=Sí, 0=No)",ES70,1
2017,"Lógica (1=Sí, 0=No)",ES70,1
2018,"Lógica (1=Sí, 0=No)",ES70,1
2019,"Lógica (1=Sí, 0=No)",ES70,1
2020,"Lógica (1=Sí, 0=No)",ES70,1
